start_date,very_percentage,somewhat_percentage,not_very_percentage,not_at_all_percentage
2020-06-23,34.34343434343434,37.37373737373738,17.17171717171717,11.11111111111111
2020-06-23,23.571428571428573,40.10204081632653,22.244897959183675,14.081632653061224
2020-06-26,26.53061224489796,35.714285714285715,21.428571428571427,16.3265306122449
2020-06-22,11.881188118811881,43.56435643564357,29.7029702970297,14.85148514851485
2020-06-26,33.6734693877551,38.775510204081634,18.367346938775512,9.183673469387756
2020-06-28,27.500000000000004,53.75,3.75,15
2020-06-25,28.999999999999996,33,25,13
2020-06-26,41.41414141414141,26.262626262626267,17.17171717171717,15.151515151515152
2020-06-25,45,31,16,8
2020-07-03,25,37.5,21.875,15.625
2020-06-29,12.121212121212121,42.42424242424242,30.303030303030305,15.151515151515152
2020-07-03,36.45833333333333,37.5,15.625,10.416666666666668
2020-07-07,35.101751543991085,36.61030677331173,16.826971752556442,11.46096993014073
2020-07-05,23,39,25,13
2020-07-10,39.175257731958766,35.051546391752574,15.463917525773196,10.309278350515463
2020-07-10,27.083333333333332,36.45833333333333,19.791666666666664,16.666666666666664
2020-07-06,14.000000000000002,39,31,16
2020-07-09,48,31,12,9
2020-07-09,46,30,15,9
2020-07-12,23.762376237623762,39.603960396039604,25.742574257425744,10.891089108910892
2020-07-12,34.73684210526316,34.73684210526316,17.894736842105264,12.631578947368421
2020-07-17,38.54166666666667,35.41666666666667,16.666666666666664,9.375
2020-07-17,28.125,35.41666666666667,18.75,17.708333333333336
2020-07-13,16,43,28.000000000000004,13
2020-07-16,49.494949494949495,31.313131313131315,11.11111111111111,8.080808080808081
2020-07-16,47,32,15,6
2020-07-21,33.391180073499385,35.46345447121274,20.78399346672111,10.361371988566761
2020-07-19,26,38,25,11
2020-07-17,51,28.000000000000004,20,1
2020-07-22,37,40,17,6
2020-07-21,35,37,17,11
2020-07-24,31.57894736842105,35.78947368421053,15.789473684210526,16.842105263157894
2020-07-20,15,44,28.000000000000004,13
2020-07-24,39.175257731958766,34.02061855670103,17.525773195876287,9.278350515463918
2020-07-24,29.278350515463913,36.391752577319586,22.783505154639176,11.54639175257732
2020-07-28,35.51973885545242,35.815566663266345,19.065592165663574,9.599102315617667
2020-07-26,24,39,26,11
2020-07-28,37,43,13,7.000000000000001
2020-07-27,12.121212121212121,46.464646464646464,27.27272727272727,14.14141414141414
2020-07-31,39.58333333333333,32.29166666666667,17.708333333333336,10.416666666666668
2020-07-30,42,34,17,7.000000000000001
2020-08-02,25,40,23,12
2020-08-03,11,44,30,15
2020-08-07,38.775510204081634,35.714285714285715,16.3265306122449,9.183673469387756
2020-08-06,41,28.000000000000004,18,13
2020-08-11,35.50982988693083,33.788326372618926,17.439136192319445,13.262707548130791
2020-08-09,27.722772277227726,39.603960396039604,20.792079207920793,11.881188118811881
2020-08-12,32.97872340425532,36.17021276595745,15.957446808510639,14.893617021276595
2020-08-14,28.125,38.54166666666667,19.791666666666664,13.541666666666666
2020-08-10,16,43,26,15
2020-08-14,37.89473684210527,35.78947368421053,18.947368421052634,7.368421052631578
2020-08-14,49,28.999999999999996,20,2
2020-08-16,26,37,23,14.000000000000002
2020-08-17,42.42424242424242,31.313131313131315,17.17171717171717,9.090909090909092
2020-08-19,32,36,20,12
2020-08-20,38.144329896907216,34.02061855670103,19.587628865979383,8.24742268041237
2020-08-21,26.595744680851062,38.297872340425535,18.085106382978726,17.02127659574468
2020-08-23,21,37,28.000000000000004,14.000000000000002
2020-08-18,37.37373737373738,35.35353535353536,17.17171717171717,10.1010101010101
2020-08-27,31.958762886597935,38.144329896907216,19.587628865979383,10.309278350515463
2020-08-28,26.804123711340207,36.08247422680412,20.618556701030926,16.49484536082474
2020-08-17,12,41,31,16
2020-08-28,42,32,15,11
2020-08-24,19.19191919191919,41.41414141414141,27.27272727272727,12.121212121212121
2020-08-27,32,31,25,12
2020-08-27,42,32,19,7.000000000000001
2020-09-01,30.90817356205853,34.20787083753784,22.361251261352173,12.522704339051463
2020-08-30,20,40,26,14.000000000000002
2020-09-02,30,38,21,11
2020-09-04,27.835051546391753,36.08247422680412,18.556701030927837,17.525773195876287
2020-09-06,21,37,26,16
2020-09-03,47.474747474747474,27.27272727272727,13.131313131313133,12.121212121212121
2020-09-11,28.125,34.375,20.833333333333336,16.666666666666664
2020-09-11,38,31,22,9
2020-09-11,32.631578947368425,34.73684210526316,23.157894736842106,9.473684210526317
2020-09-10,32,32,24,12
2020-09-10,42,32,19,7.000000000000001
2020-09-15,32.89540171803941,35.10864072764022,20.4244567963618,11.571500757958564
2020-09-13,21.782178217821784,37.62376237623762,27.722772277227726,12.871287128712872
2020-09-18,28.71287128712871,42.57425742574257,18.81188118811881,9.900990099009901
